spectrogram_path,label,split,machine_type
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0315_pro_A_vel_12_loc_C_seg9.npy,0,train,bearing
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_test_normal_0010_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg2.npy,0,train,gearbox
