cnn_feature_index,best_acoustic_match,correlation,abs_correlation,direction
27,mfcc_4_mean,0.162,0.162,positive
30,spectral_contrast_2_mean,-0.1463,0.1463,negative
118,mfcc_9_mean,-0.1718,0.1718,negative
138,spectral_contrast_3_mean,0.3196,0.3196,positive
140,spectral_contrast_3_mean,0.4661,0.4661,positive
217,zero_crossing_rate_std,-0.2142,0.2142,negative
223,spectral_contrast_7_mean,0.1736,0.1736,positive
228,spectral_contrast_3_mean,0.3511,0.3511,positive
239,spectral_contrast_3_mean,0.4,0.4,positive
240,mfcc_10_mean,0.286,0.286,positive
245,mfcc_10_mean,0.2984,0.2984,positive
274,spectral_contrast_3_mean,0.2717,0.2717,positive
345,spectral_contrast_3_mean,0.3354,0.3354,positive
408,spectral_contrast_3_mean,0.4595,0.4595,positive
446,mid_freq_energy,-0.2886,0.2886,negative
474,spectral_contrast_3_mean,0.3812,0.3812,positive
496,spectral_contrast_3_mean,0.1171,0.1171,positive
500,spectral_contrast_3_mean,0.4115,0.4115,positive
513,mfcc_11_mean,-0.2762,0.2762,negative
565,mfcc_13_std,0.1534,0.1534,positive
566,spectral_contrast_5_mean,-0.1898,0.1898,negative
612,mfcc_11_mean,-0.314,0.314,negative
613,mfcc_4_std,0.1778,0.1778,positive
659,spectral_contrast_7_mean,0.1841,0.1841,positive
680,spectral_contrast_7_mean,0.2102,0.2102,positive
690,spectral_contrast_2_mean,-0.207,0.207,negative
717,mfcc_10_mean,0.2293,0.2293,positive
733,mfcc_11_mean,-0.3274,0.3274,negative
743,mfcc_11_mean,-0.135,0.135,negative
746,spectral_contrast_3_mean,0.4159,0.4159,positive
766,mfcc_11_mean,-0.3823,0.3823,negative
817,mfcc_11_mean,-0.3044,0.3044,negative
825,mfcc_4_std,0.2509,0.2509,positive
830,spectral_contrast_3_mean,0.3422,0.3422,positive
840,spectral_contrast_3_mean,0.3005,0.3005,positive
847,spectral_contrast_3_mean,0.4005,0.4005,positive
882,mfcc_11_mean,-0.256,0.256,negative
963,low_freq_energy,-0.1387,0.1387,negative
980,mfcc_10_mean,0.3301,0.3301,positive
1039,spectral_contrast_3_mean,0.3451,0.3451,positive
1049,spectral_contrast_4_mean,-0.1541,0.1541,negative
1064,spectral_contrast_3_mean,0.1959,0.1959,positive
1087,mfcc_6_mean,-0.2196,0.2196,negative
1094,spectral_contrast_3_mean,0.2945,0.2945,positive
1123,spectral_contrast_3_mean,0.3736,0.3736,positive
1147,spectral_centroid_mean,-0.214,0.214,negative
1205,mfcc_2_mean,-0.1991,0.1991,negative
1216,mfcc_10_mean,0.2645,0.2645,positive
1262,mfcc_11_mean,-0.2144,0.2144,negative
1263,mfcc_11_mean,-0.2232,0.2232,negative
