condition,prediction,accuracy,numerosity,fitness,selected_feature_indices,original_feature_indices,correct_count,match_count
"[[-1.8555157244205476, 2.276870270371437], [-1.2518819496035576, 5.9194654151797295], [-1.8635925769805908, 1.4019608950614928], [-1.6811786472797394, 1.2605786016583442], [-1.7641605019569397, 0.9455555039644243], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367]]",Normal,0.9930555555555556,5,0.9326859910336447,"[11, 47, 37, 31, 16, 34, 39]","[274, 1216, 963, 817, 496, 840, 1039]",858,864
"[[-1.2518819496035576, 4.398005279154974], [-1.8635925769805908, 1.4019608950614928], [-1.7641605019569397, 0.9455555039644243], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367], [-1.758002656698227, 3.0558807000517847], [-1.7288547396659852, 3.8248780775070195], [-1.6811786472797394, 2.667912869155407], [-1.6441999614238738, 2.0598203906416894]]",Normal,1.0,3,1.0,"[47, 37, 16, 34, 39, 19, 43, 31, 10]","[1216, 963, 496, 840, 1039, 565, 1094, 817, 245]",131,131
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6900122523307801, 2.759394053220749], [-1.7641605019569397, 0.9455555039644243], [-1.7437106370925903, 2.9472451537847517]]",Normal,0.9967532467532467,3,0.9680027470347472,"[15, 32, 49, 31, 37, 47, 34, 16, 14]","[474, 825, 1263, 817, 963, 1216, 840, 496, 446]",921,924
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6900122523307801, 2.759394053220749], [-1.7641605019569397, 0.9455555039644243]]",Normal,0.9962756052141527,3,0.9633740932289087,"[15, 32, 49, 23, 31, 37, 47, 34, 16]","[474, 825, 1263, 659, 817, 963, 1216, 840, 496]",1070,1074
"[[-1.8440534591674804, 2.0950475454330446], [-1.6811786472797394, 1.2605786016583442], [-1.82147895693779, 2.473960210680962], [-1.71348152756691, 2.4739576002955435], [-1.8555157244205476, 2.276870270371437], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112]]",Normal,0.9956140350877193,3,0.9569959545770036,"[23, 31, 45, 35, 11, 32, 49]","[659, 817, 1147, 847, 274, 825, 1263]",227,228
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 1.7924783825874329], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.2112549889119049, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6500760436058046, 0.7964785373210908], [-1.6491265833377837, 1.584968847334385]]",Normal,0.9938208032955715,3,0.9398982356519144,"[15, 32, 49, 23, 37, 47, 30, 48]","[474, 825, 1263, 659, 963, 1216, 766, 1262]",965,971
"[[-1.8555157244205476, 2.276870270371437], [-1.2518819496035576, 4.398005279154974], [-1.6811786472797394, 1.2605786016583442], [-1.7641605019569397, 0.9455555039644243], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367], [-1.7288547396659852, 3.8248780775070195]]",Normal,0.9924337957124842,3,0.9268627967657572,"[11, 47, 31, 16, 34, 39, 43]","[274, 1216, 817, 496, 840, 1039, 1094]",787,793
"[[-1.6227943122386934, 1.6008550608158112], [-1.6931957185268403, 2.089929431974888], [-1.6758379220962525, 3.414409790635109], [-1.776373201608658, 1.3121550747752189], [-1.8555157244205476, 2.276870270371437], [-1.6797260224819184, 1.5988639277219772], [-1.6811786472797394, 1.2605786016583442], [-1.88514364361763, 3.5828650662302968]]",Normal,0.9911361804995971,3,0.9148150471677049,"[49, 22, 21, 0, 11, 15, 31, 1]","[1263, 613, 612, 27, 274, 474, 817, 30]",1230,1241
"[[-1.7686191916465759, 1.961052010059357], [-1.6441999614238738, 1.2358380600810053], [-1.776373201608658, 1.3121550747752189], [-1.6931957185268403, 2.089929431974888], [-1.6672115206718445, 0.45203138600608517], [-1.8499676644802094, 4.994140712320805]]",Normal,0.9903846153846154,3,0.907901751782989,"[41, 10, 0, 22, 32, 7]","[1064, 245, 27, 613, 825, 228]",1133,1144
"[[-1.6672115206718445, 0.45203138600608517], [-1.8440534591674804, 2.0950475454330446], [-1.8555157244205476, 2.276870270371437], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [0.2846683507296395, 2.1595378087460997], [-1.603154443204403, 0.857474111020565], [-1.7641605019569397, 2.6450366401672367]]",Normal,0.9878048780487805,3,0.8845281624543802,"[32, 23, 11, 37, 47, 48, 35, 16]","[825, 659, 274, 963, 1216, 1262, 847, 496]",81,82
